usage_id,customer_id,usage_date,ai_requests,active_users,api_calls,hours_saved
1,455,2025-03-21,853,18,305,7.75
2,481,2026-08-13,887,20,325,9.14
3,400,2025-08-18,855,17,346,18.21
4,97,2025-02-12,870,14,317,7.28
5,25,2025-08-10,822,18,340,8.28
6,10,2025-07-18,861,17,336,18.24
7,3,2025-01-16,832,13,326,12.66
8,24,2026-02-19,851,12,307,7.22
9,304,2026-04-03,804,26,320,6.37
10,250,2025-03-05,883,9,293,14.3
11,404,2026-01-17,853,24,285,8.67
12,263,2026-02-21,829,20,327,19.5
13,39,2025-07-07,852,11,318,20.55
14,233,2026-05-02,867,14,333,13.52
15,243,2026-02-28,848,15,324,7.99
16,117,2025-03-10,870,15,328,14.33
17,256,2025-07-14,857,20,334,12.12
18,488,2025-10-11,903,11,308,19.62
19,352,2025-06-21,863,19,315,7.31
20,16,2026-06-17,864,23,305,9.43
21,371,2026-06-07,855,24,298,9.34
22,111,2025-01-09,818,16,327,13.62
23,341,2025-02-17,821,21,331,13.97
24,296,2026-07-10,813,21,287,5.74
25,336,2025-06-20,823,15,333,10.05
26,485,2026-03-28,790,18,331,14.4
27,205,2025-07-20,829,21,350,4.33
28,183,2026-02-20,835,17,330,9.05
29,171,2025-07-09,819,22,326,10.72
30,135,2025-09-19,856,16,309,16.07
31,499,2025-05-09,885,21,319,9.9
32,81,2025-06-28,872,19,341,16.22
33,10,2025-12-16,884,25,322,18.91
34,8,2026-02-09,853,24,326,14.54
35,290,2025-02-24,888,15,301,18.77
36,206,2025-04-04,793,19,321,10.05
37,120,2026-01-28,846,17,301,18.12
38,442,2025-07-18,833,17,327,7.4
39,460,2025-07-28,873,25,348,5.5
40,86,2026-02-26,860,25,304,13.12
41,91,2025-06-26,875,11,328,20.96
42,463,2025-01-24,883,20,306,21.02
43,410,2026-08-23,830,27,301,15.86
44,429,2025-08-14,826,16,299,13.92
45,237,2025-07-05,832,18,311,16.97
46,4,2025-03-29,822,17,314,19.78
47,113,2026-05-04,822,14,301,16.86
