payment_id,subscription_id,payment_date,amount,payment_method,payment_status
1,294,2026-08-29,79.0,Bank Transfer,Paid
2,122,2025-03-21,29.0,UPI,Paid
3,258,2026-06-26,29.0,UPI,Paid
4,398,2025-01-07,29.0,Bank Transfer,Paid
5,342,2026-04-09,29.0,UPI,Paid
6,197,2025-08-04,199.0,PayPal,Paid
7,201,2025-01-27,79.0,Card,Paid
8,409,2025-05-24,199.0,Card,Paid
9,389,2025-06-26,79.0,Bank Transfer,Paid
10,74,2026-08-11,79.0,Card,Paid
11,183,2025-06-11,499.0,UPI,Paid
12,119,2025-04-12,79.0,Bank Transfer,Paid
13,115,2025-08-28,29.0,Card,Paid
14,210,2025-07-30,79.0,Card,Paid
15,309,2026-02-12,79.0,Bank Transfer,Paid
16,139,2026-08-30,29.0,UPI,Paid
17,541,2026-02-17,29.0,Bank Transfer,Paid
18,307,2026-02-02,79.0,Bank Transfer,Paid
19,292,2025-12-25,29.0,UPI,Paid
20,88,2025-11-14,499.0,Card,Failed
21,351,2026-02-17,79.0,Bank Transfer,Paid
22,274,2025-12-12,79.0,UPI,Paid
23,637,2026-03-24,79.0,Card,Failed
24,71,2026-04-14,29.0,Card,Paid
25,519,2026-04-11,79.0,UPI,Paid
26,526,2026-03-03,29.0,Card,Paid
27,640,2025-01-13,79.0,Card,Paid
28,560,2025-08-24,79.0,Bank Transfer,Paid
29,597,2025-03-06,29.0,Bank Transfer,Failed
30,637,2026-07-01,79.0,UPI,Paid
31,242,2026-02-25,29.0,UPI,Paid
32,569,2025-09-27,199.0,PayPal,Paid
33,407,2025-03-20,499.0,Card,Paid
34,123,2025-10-02,29.0,UPI,Paid
35,289,2026-07-31,79.0,UPI,Refunded
36,605,2025-05-22,29.0,Card,Paid
37,153,2025-04-17,29.0,UPI,Paid
38,29,2025-11-04,199.0,UPI,Refunded
39,26,2026-05-01,499.0,Card,Paid
40,383,2026-08-28,29.0,UPI,Paid
41,492,2025-11-12,29.0,Bank Transfer,Paid
42,242,2026-08-18,29.0,Card,Paid
43,549,2026-08-02,79.0,Card,Paid
44,524,2025-08-13,29.0,Card,Paid
45,425,2025-07-05,29.0,PayPal,Paid
46,217,2026-06-15,79.0,UPI,Paid
47,112,2025-05-01,79.0,Bank Transfer,Paid
48,295,2025-01-12,29.0,Card,Paid
49,240,2025-11-01,29.0,UPI,Paid
50,441,2026-08-07,499.0,UPI,Failed
51,425,2025-01-01,29.0,PayPal,Failed
52,441,2025-01-21,499.0,Bank Transfer,Paid
53,619,2026-04-23,79.0,Card,Paid
54,311,2026-05-30,199.0,Bank Transfer,Paid
55,172,2025-12-01,79.0,PayPal,Paid
56,31,2026-06-10,79.0,UPI,Paid
57,250,2025-12-21,79.0,Bank Transfer,Paid
58,37,2025-11-05,79.0,Card,Paid
59,588,2025-09-27,79.0,UPI,Paid
60,15,2025-06-07,79.0,Card,Paid
61,2,2026-05-14,29.0,PayPal,Paid
62,286,2025-02-11,29.0,Card,Paid
63,425,2026-03-27,29.0,Card,Paid
64,548,2026-04-22,79.0,Bank Transfer,Paid
65,195,2026-03-06,199.0,Card,Paid
66,455,2025-03-27,29.0,UPI,Paid
67,115,2025-09-02,29.0,Card,Paid
68,342,2026-01-27,29.0,UPI,Paid
69,108,2026-08-05,199.0,Bank Transfer,Paid
70,312,2026-01-12,199.0,Card,Paid
71,385,2025-06-13,79.0,Card,Paid
72,136,2026-06-24,79.0,Card,Paid
73,323,2025-01-06,79.0,UPI,Paid
74,419,2025-12-31,499.0,UPI,Paid
75,6,2026-05-30,79.0,Card,Failed
76,414,2025-08-22,79.0,Card,Paid
77,148,2025-12-23,29.0,Bank Transfer,Paid
78,388,2025-12-05,79.0,Bank Transfer,Failed
79,371,2025-08-21,29.0,Card,Failed
80,19,2026-08-30,199.0,Bank Transfer,Paid
81,390,2025-10-04,29.0,Card,Paid
82,409,2026-06-22,199.0,Card,Paid
83,414,2025-09-23,79.0,UPI,Paid
84,48,2025-03-08,29.0,Card,Paid
85,162,2025-03-20,499.0,Card,Paid
86,264,2025-02-26,199.0,PayPal,Paid
