subscription_id,customer_id,plan_id,start_date,end_date,subscription_status
1,1,1,2024-01-25,,Active
2,2,1,2025-05-05,,Active
3,3,1,2024-04-19,2024-05-23,Paused
4,4,3,2024-11-20,,Active
5,5,2,2024-08-16,,Active
6,6,2,2025-04-14,,Active
7,7,2,2024-01-06,,Active
8,8,3,2024-09-03,,Active
9,9,1,2024-02-12,,Active
10,10,3,2025-04-11,,Active
11,11,2,2024-04-07,,Active
12,12,2,2024-01-17,,Active
13,13,3,2026-01-03,,Active
14,14,1,2025-10-07,,Active
15,15,2,2026-04-03,,Active
16,16,2,2026-01-16,,Active
17,17,2,2025-10-10,2026-03-20,Cancelled
18,18,1,2024-09-16,,Active
19,19,3,2026-04-15,,Active
20,20,1,2026-01-29,,Active
21,21,3,2025-05-20,2025-08-16,Paused
22,22,1,2025-07-31,,Active
23,23,1,2024-06-15,,Active
24,24,1,2024-10-10,,Active
25,25,1,2024-10-11,2025-05-05,Cancelled
26,26,4,2025-02-18,,Active
27,27,1,2026-04-01,,Active
28,28,1,2025-06-08,,Active
29,29,3,2025-01-03,,Active
30,30,2,2026-04-04,,Active
31,31,2,2024-01-09,2024-09-22,Cancelled
32,32,1,2025-10-09,2025-12-15,Cancelled
33,33,4,2025-11-27,2026-03-27,Cancelled
34,34,1,2025-04-11,2025-12-14,Cancelled
35,35,1,2025-12-05,,Active
36,36,1,2024-09-21,,Active
37,37,2,2024-02-02,,Active
38,38,1,2026-03-05,,Active
39,39,3,2026-01-02,,Active
40,40,1,2025-09-04,,Active
41,41,1,2026-05-09,,Active
42,42,4,2025-12-21,,Active
43,43,1,2024-10-05,2025-06-05,Cancelled
44,44,3,2024-06-01,2025-04-06,Paused
45,45,1,2025-12-17,2027-03-07,Cancelled
46,46,1,2025-04-12,,Active
47,47,1,2026-04-21,2026-08-10,Cancelled
48,48,1,2024-11-03,,Active
49,49,3,2024-09-23,,Active
50,50,1,2025-12-12,,Active
51,51,1,2024-02-24,,Active
52,52,2,2025-10-31,2026-02-25,Cancelled
53,53,4,2025-02-06,,Active
54,54,2,2025-08-31,2026-05-13,Cancelled
55,55,2,2025-10-17,,Active
56,56,2,2026-04-30,,Active
57,57,4,2024-05-20,2024-11-22,Cancelled
58,58,2,2026-06-19,2026-08-04,Paused
59,59,2,2026-02-21,,Active
60,60,2,2024-07-23,2024-09-20,Cancelled
61,61,3,2026-05-20,2027-01-19,Cancelled
62,62,3,2025-12-24,,Active
63,63,1,2025-04-21,,Active
64,64,2,2024-10-10,,Active
65,65,1,2025-07-18,,Active
66,66,3,2026-06-21,,Active
67,67,3,2024-05-16,,Active
68,68,2,2025-09-19,,Active
69,69,2,2024-08-28,2025-03-12,Cancelled
70,70,2,2025-01-21,,Active
71,71,1,2024-09-07,,Active
72,72,1,2025-08-16,,Active
73,73,3,2026-04-09,2027-05-28,Cancelled
74,74,2,2025-12-11,,Active
75,75,1,2025-07-20,,Active
76,76,4,2026-03-10,,Active
77,77,1,2024-04-28,,Active
78,78,3,2024-08-02,,Active
79,79,2,2026-03-03,2026-10-03,Paused
80,80,2,2025-10-11,,Active
81,81,1,2025-08-07,2025-12-08,Cancelled
82,82,3,2024-04-15,,Active
83,83,2,2024-02-11,,Active
84,84,1,2024-07-10,,Active
85,85,2,2024-02-07,,Active
86,86,2,2025-10-23,,Active
87,87,3,2024-12-27,,Active
88,88,4,2026-03-26,,Active
89,89,3,2024-05-05,,Active
90,90,1,2025-09-05,,Active
91,91,1,2025-01-08,,Active
92,92,3,2025-05-20,,Active
93,93,3,2024-07-18,2024-12-01,Paused
94,94,3,2026-04-23,,Active
95,95,3,2025-01-20,,Active
96,96,2,2026-01-22,,Active
97,97,2,2024-06-10,2025-07-09,Cancelled
98,98,2,2025-06-15,,Active
99,99,3,2026-06-06,,Active
100,100,1,2025-10-16,,Active
101,101,2,2025-07-17,,Active
102,102,2,2026-02-16,,Active
103,103,1,2024-09-20,,Active
104,104,1,2024-12-26,2025-03-01,Cancelled
105,105,2,2024-10-09,,Active
106,106,1,2025-02-05,,Active
107,107,3,2026-02-03,,Active
108,108,3,2025-04-14,,Active
109,109,1,2024-02-22,,Active
110,110,2,2025-06-24,,Active
111,111,3,2024-07-15,2024-08-31,Cancelled
112,112,2,2024-04-08,,Active
113,113,1,2025-10-26,2026-02-03,Cancelled
114,114,1,2025-02-04,,Active
115,115,1,2024-11-26,2026-01-28,Cancelled
116,116,1,2025-02-21,,Active
117,117,4,2024-09-08,2025-04-07,Cancelled
118,118,2,2025-11-14,,Active
119,119,2,2026-05-12,,Active
120,120,3,2024-06-08,,Active
121,121,2,2024-08-30,,Active
122,122,1,2025-04-03,,Active
123,123,1,2024-03-18,2024-08-18,Cancelled
124,124,2,2025-10-03,,Active
125,125,1,2026-03-26,,Active
126,126,1,2025-11-01,,Active
127,127,3,2025-04-06,,Active
128,128,3,2024-05-30,,Active
129,129,2,2024-01-03,2024-04-18,Cancelled
130,130,3,2026-03-25,,Active
131,131,3,2024-04-15,,Active
132,132,4,2024-06-08,,Active
133,133,2,2026-04-02,,Active
134,134,2,2024-05-14,,Active
135,135,1,2024-07-07,,Active
136,136,2,2025-12-11,,Active
137,137,4,2025-07-12,,Active
138,138,1,2025-02-22,2026-01-21,Cancelled
139,139,1,2025-08-07,2026-10-19,Cancelled
140,140,1,2024-05-13,,Active
141,141,1,2024-03-30,,Active
142,142,4,2024-02-21,,Active
143,143,2,2024-11-01,,Active
144,144,1,2024-04-11,,Active
145,145,2,2025-03-29,,Active
146,146,2,2024-10-06,2025-03-02,Cancelled
147,147,2,2024-06-23,,Active
148,148,1,2024-11-07,,Active
149,149,3,2024-06-16,2024-08-14,Cancelled
150,150,2,2026-03-07,,Active
151,151,3,2025-09-20,,Active
152,152,2,2026-06-16,,Active
153,153,1,2025-04-09,2026-03-30,Cancelled
154,154,2,2025-04-23,,Active
155,155,1,2024-03-22,,Active
156,156,2,2024-11-23,,Active
157,157,1,2024-02-03,,Active
158,158,2,2025-10-23,2026-04-18,Cancelled
159,159,3,2024-09-12,,Active
160,160,3,2025-01-02,2025-04-01,Paused
161,161,1,2026-05-12,,Active
162,162,4,2026-06-03,,Active
163,163,2,2025-12-08,2026-10-14,Cancelled
164,164,4,2025-09-14,2026-09-27,Cancelled
165,165,3,2025-12-22,2026-08-19,Cancelled
166,166,2,2025-12-03,,Active
167,167,2,2024-10-12,,Active
168,168,3,2024-09-22,,Active
169,169,2,2025-11-10,2026-01-06,Cancelled
170,170,1,2026-02-04,,Active
171,171,2,2024-09-29,,Active
172,172,2,2025-08-08,,Active
173,173,1,2026-01-27,,Active
174,174,2,2024-01-22,2024-12-13,Paused
175,175,2,2025-06-12,,Active
176,176,2,2026-06-23,2027-07-30,Cancelled
177,177,3,2025-03-10,,Active
178,178,2,2025-01-31,,Active
179,179,1,2025-02-23,2025-06-24,Cancelled
180,180,2,2025-12-22,,Active
181,181,2,2025-05-11,,Active
182,182,3,2025-09-23,,Active
183,183,4,2025-11-12,2026-08-13,Cancelled
184,184,1,2025-07-19,,Active
185,185,2,2024-06-20,2025-07-13,Cancelled
186,186,3,2026-04-18,,Active
187,187,3,2024-12-03,2025-08-06,Cancelled
188,188,1,2024-02-14,2025-01-08,Paused
189,189,2,2024-02-21,2024-04-09,Paused
190,190,3,2024-12-03,,Active
191,191,2,2024-07-02,2024-12-19,Paused
192,192,2,2025-02-08,,Active
193,193,4,2025-11-10,,Active
194,194,3,2024-02-05,,Active
195,195,3,2024-10-16,,Active
