ticket_id,customer_id,ticket_date,issue_category,priority,resolution_time_hours,ticket_status
1,172,2025-07-06,API,Medium,10.74,In Progress
2,369,2025-03-23,Account,Medium,9.04,Closed
3,275,2025-12-18,Billing,Medium,5.71,Resolved
4,454,2025-11-18,Account,Medium,12.44,Resolved
5,222,2025-05-19,Billing,Medium,8.68,Closed
6,3,2025-04-18,Account,Low,9.23,In Progress
7,47,2026-04-24,Performance,Low,22.42,Resolved
8,66,2025-10-22,Account,Low,8.34,Resolved
9,140,2025-03-14,Performance,High,3.72,Resolved
10,41,2025-02-01,Performance,Critical,18.35,Resolved
11,218,2026-08-06,Billing,Medium,1.2,Resolved
12,464,2025-08-05,Billing,Low,3.07,Closed
13,173,2026-04-10,Billing,High,4.9,Resolved
14,377,2025-04-20,Performance,Low,5.38,Closed
15,297,2026-03-05,Billing,Low,17.51,Open
16,228,2025-11-17,Billing,Low,11.23,Resolved
17,300,2025-04-27,Technical,Low,17.84,Closed
18,374,2025-09-03,Performance,Medium,12.58,Closed
19,201,2025-07-23,Account,Low,0.88,In Progress
20,215,2025-01-17,Account,High,7.78,Resolved
21,274,2026-05-07,Billing,Low,10.6,In Progress
22,204,2025-09-28,Account,Medium,1.92,Closed
23,375,2026-07-02,Account,Medium,11.49,Resolved
24,233,2025-08-07,AI Output,Low,24.15,Resolved
25,54,2025-11-06,API,Low,5.29,Resolved
26,83,2026-07-16,Billing,Low,16.25,Resolved
27,158,2026-01-22,API,Low,13.71,Resolved
28,90,2025-07-30,API,Low,8.97,Open
29,128,2026-03-20,AI Output,Medium,5.2,Resolved
30,65,2025-12-13,Billing,Medium,13.12,In Progress
31,320,2026-07-19,Technical,Medium,17.24,Closed
32,35,2026-02-08,AI Output,Low,10.84,Resolved
33,128,2025-06-04,Performance,Critical,10.94,Resolved
34,41,2026-07-24,Billing,Low,9.41,Closed
35,302,2025-02-11,Billing,High,6.17,Closed
36,250,2025-07-16,Account,Medium,28.42,Closed
37,277,2026-05-06,Account,Medium,8.31,Open
38,229,2026-08-07,Technical,Medium,15.02,Closed
39,16,2026-03-26,Performance,Medium,12.22,Resolved
40,19,2026-03-08,AI Output,Medium,24.54,Resolved
41,76,2025-12-02,API,Medium,12.63,Resolved
42,195,2026-01-09,AI Output,Critical,9.27,Resolved
43,185,2026-02-03,API,High,7.75,Closed
44,84,2025-07-13,Technical,High,5.51,Resolved
45,61,2025-12-13,AI Output,Medium,3.89,Closed
46,259,2025-10-07,API,Medium,17.62,Resolved
47,99,2025-10-18,AI Output,Low,5.33,Resolved
48,167,2026-08-20,Performance,Low,9.94,Resolved
49,241,2026-04-29,AI Output,Medium,5.87,Closed
50,186,2026-07-11,API,Low,4.62,Open
51,336,2026-01-27,Technical,Medium,16.84,Resolved
52,420,2025-02-14,API,Low,9.11,Closed
53,382,2025-06-29,AI Output,High,6.26,Resolved
54,419,2025-08-15,Performance,Low,20.01,Closed
55,354,2025-10-08,Performance,Low,11.38,Open
56,237,2025-03-13,Account,Low,11.04,Resolved
57,463,2026-06-03,Technical,Low,21.76,Resolved
58,204,2025-03-13,Performance,High,6.33,Closed
59,144,2025-07-22,Performance,Low,3.12,In Progress
60,491,2025-08-03,AI Output,Medium,5.25,Resolved
61,102,2025-06-18,AI Output,Medium,10.31,Closed
62,455,2025-11-16,Performance,Medium,4.44,Resolved
63,38,2026-07-27,API,High,5.28,Resolved
64,214,2026-07-03,Technical,Critical,18.76,Resolved
65,461,2025-09-21,Performance,High,4.65,Open
66,93,2025-11-15,Technical,High,13.32,Resolved
67,273,2026-07-19,Technical,High,13.66,Resolved
68,325,2025-01-26,Account,High,29.73,Resolved
69,454,2025-12-24,Technical,Medium,19.33,Closed
70,149,2025-09-01,Account,Medium,8.78,Resolved
71,181,2026-01-11,Technical,Medium,11.7,Resolved
72,319,2026-02-18,Billing,Low,6.31,Open
73,97,2025-09-21,Account,High,4.79,Resolved
74,148,2026-08-02,API,Medium,5.49,Resolved
75,95,2026-04-13,Performance,High,8.07,Resolved
76,244,2026-01-05,Performance,Medium,23.82,In Progress
